[21.03.2016 | 23:06:58] Talorin.Goldberry: Welche Partei ist die AFV?
[08.04.2016 | 18:49:46] Kevin.Bumsberg: danke
[08.04.2016 | 18:50:36] Kevin.Bumsberg: danke sir
[08.04.2016 | 18:50:48] Florian.Mrpacman: müssen sie noch wohin
[08.04.2016 | 18:50:59] Kevin.Bumsberg: nein danke
[08.04.2016 | 18:51:13] Florian.Mrpacman: ok
[08.04.2016 | 18:53:47] Marcel.Gamer: hier
[08.04.2016 | 18:53:54] Kevin.Bumsberg: ach du scheisse#
[08.04.2016 | 18:53:59] Kevin.Bumsberg: wie teuer
[08.04.2016 | 18:53:59] Marcel.Gamer: wasn 
[08.04.2016 | 18:54:20] Marcel.Gamer: das sind neuwagen
[08.04.2016 | 18:54:31] Florian.Mrpacman: alles klar
[08.04.2016 | 18:54:37] Marcel.Gamer: ja :D
[08.04.2016 | 18:54:51] Kevin.Bumsberg: was kostert so ein lkw
[08.04.2016 | 18:55:25] Kevin.Bumsberg: was kostet so ein lkw
[08.04.2016 | 18:55:26] Marcel.Gamer: 120k 
[08.04.2016 | 18:55:29] Kevin.Bumsberg: O:O
[08.04.2016 | 18:55:33] Marcel.Gamer: komm mal mit
[08.04.2016 | 18:55:52] Marcel.Gamer: da 
[08.04.2016 | 18:56:03] Kevin.Bumsberg: danke hast d den gespawnt
[08.04.2016 | 18:56:09] Marcel.Gamer: einsteigen und unten rechts auf kaufen
[08.04.2016 | 18:56:28] Marcel.Gamer: bitte
[08.04.2016 | 18:56:32] Kevin.Bumsberg: danke komm rein
[08.04.2016 | 18:56:40] Marcel.Gamer: ne ich bleibe hier
[08.04.2016 | 18:58:31] Marcel.Gamer: park hier und komme mal mit
[08.04.2016 | 18:58:53] Marcel.Zockerhd: Hallo kevin möchtes du ein auto kaufen ich habe gehört du hast greade dein führerschein bestande
[08.04.2016 | 18:59:09] Marcel.Gamer: hier gehtst du in dienst und außer dienst
[08.04.2016 | 18:59:14] Kevin.Bumsberg: ok
[08.04.2016 | 18:59:18] Matze.Gamingtv: nur noch 2
[08.04.2016 | 18:59:51] Marcel.Zockerhd: ok ich bin jeden zweiten tag oder ab unzu auch jeden
[08.04.2016 | 19:01:32] Marcel.Gamer: hier gehts in die garage
[08.04.2016 | 19:02:02] Marcel.Gamer: du kannst das gar nicht 
[08.04.2016 | 19:02:36] Marcel.Gamer: dann drücke mal bitte das geteilt zeichen auf der tastatur
[08.04.2016 | 19:02:39] Kevin.Bumsberg: wuhu lvl 2
[08.04.2016 | 19:03:02] Marcel.Gamer: genau
[08.04.2016 | 19:03:09] Kevin.Bumsberg: remix xD
[08.04.2016 | 19:03:23] Marcel.Gamer: so jetzt bist du bereit 
[08.04.2016 | 19:03:27] Kevin.Bumsberg: oke
[08.04.2016 | 19:03:36] Marcel.Gamer: also ab gehts :D
[08.04.2016 | 19:04:03] Marcel.Gamer: also das tor geht mit m und drauf klicken auf
[08.04.2016 | 19:04:04] Kevin.Bumsberg: schnell
[08.04.2016 | 19:06:29] Ryan.McMillen: HILFEEEE
[08.04.2016 | 19:06:33] Kevin.Bumsberg: was
[08.04.2016 | 19:08:41] Kevin.Bumsberg: Ich mache nun einen Alkoholtest bei Ihnen. Bitte geben sie /accept test ein
[08.04.2016 | 19:08:43] Marcel.Zockerhd: hallo ben
[08.04.2016 | 19:12:08] Ryan.McMillen: ello!
[08.04.2016 | 19:12:11] Ryan.McMillen: my friend
[08.04.2016 | 19:12:12] Ben.Akaisda: hallo
[08.04.2016 | 19:12:16] Ryan.McMillen: :D
[08.04.2016 | 19:12:19] Ryan.McMillen: gut heim gekommen :D
[08.04.2016 | 19:12:22] Jay.Mcmillen: foggat
[08.04.2016 | 19:12:26] Ben.Akaisda: was kann ich für sie tun  ^^
[08.04.2016 | 19:12:29] Ben.Akaisda: klaro :D
[08.04.2016 | 19:12:30] Ryan.McMillen: REPARIEREN LEL
[08.04.2016 | 19:12:32] Ryan.McMillen: gut :D
[08.04.2016 | 19:13:07] Marcel.Gamer: dein notruf
[08.04.2016 | 19:13:25] Ben.Akaisda: Rechnung Ryan.McMillen 650
[08.04.2016 | 19:13:29] Ben.Akaisda: fuck :D
[08.04.2016 | 19:13:30] Ryan.McMillen: failed
[08.04.2016 | 19:13:31] Ryan.McMillen: hahahahha
[08.04.2016 | 19:13:37] Kevin.Bumsberg: habe 1299
[08.04.2016 | 19:14:02] Ben.Akaisda: bitte einmal bezahlen ,danke
[08.04.2016 | 19:14:56] Ryan.McMillen: korrekt diese
[08.04.2016 | 19:15:30] Ben.Akaisda: so fertig ,schöne weiterfahrt wünsche ich ihnen ^^
[08.04.2016 | 19:15:35] Ryan.McMillen: danköö
[08.04.2016 | 19:15:54] Ben.Akaisda: hallo
[08.04.2016 | 19:15:57] Jay.Mcmillen: hey
[08.04.2016 | 19:16:01] Ben.Akaisda: was kann ich für sie tun ?
[08.04.2016 | 19:16:06] Jay.Mcmillen: repairen ._:
[08.04.2016 | 19:16:32] Ben.Akaisda: einmal bitte bezahlen 
[08.04.2016 | 19:16:51] Ben.Akaisda: danke ich mach mich an die arbeit
[08.04.2016 | 19:20:30] Jay.Mcmillen: mach ma schnelle r..
[08.04.2016 | 19:20:48] Jay.Mcmillen: kappa
[08.04.2016 | 19:20:56] Ben.Akaisda: sie  haben den lkw sehr beschädigt bitte gedulden sie sich
[08.04.2016 | 19:21:17] Ryan.McMillen: GENAU
[08.04.2016 | 19:21:19] Jay.Mcmillen: anna sikim
[08.04.2016 | 19:21:20] Ryan.McMillen: geduld haben zikki
[08.04.2016 | 19:21:26] Jay.Mcmillen: sen orospucocug
[08.04.2016 | 19:21:32] Ben.Akaisda: bitteschön
[08.04.2016 | 19:21:35] Jay.Mcmillen: danke
[08.04.2016 | 19:21:36] Jay.Mcmillen: :D
[08.04.2016 | 19:24:27] Ben.Akaisda: hi :D
[08.04.2016 | 19:24:30] Georg.Dampfnudel: Hi ben
[08.04.2016 | 19:24:42] Georg.Dampfnudel: Bräuchte mal paar Tüvs :D
[08.04.2016 | 19:24:59] Ben.Akaisda: geht leider noch nicht :D
[08.04.2016 | 19:25:07] Georg.Dampfnudel: Warum sollte gehen ?
[08.04.2016 | 19:25:22] Georg.Dampfnudel: In der Base auf die Hebebühne
[08.04.2016 | 19:25:26] Georg.Dampfnudel: Und dann /tuev ?
[08.04.2016 | 19:25:40] Ben.Akaisda: ich kuck mal willst mit ?
[08.04.2016 | 19:25:49] Georg.Dampfnudel: Ne kauf mir gerade Autos
[08.04.2016 | 19:25:54] Ben.Akaisda: ok
[08.04.2016 | 19:32:03] Florian.Mrpacman: hallo4
[08.04.2016 | 19:32:11] Georg.Dampfnudel: Hallo
[08.04.2016 | 19:32:24] Georg.Dampfnudel: Wie gehen die Blinker ?
[08.04.2016 | 19:32:37] Florian.Mrpacman: mit numpad ist aber verbugt
[08.04.2016 | 19:33:04] Florian.Mrpacman: MATZE
[08.04.2016 | 19:33:30] Georg.Dampfnudel: Wohin ?
[08.04.2016 | 19:33:34] Florian.Mrpacman: würden sie nach ls zum airport fahren 
[08.04.2016 | 19:33:41] Georg.Dampfnudel: Ok
[08.04.2016 | 19:34:55] Florian.Mrpacman: würden sie ein bischen langsamer fahren 
[08.04.2016 | 19:35:18] Florian.Mrpacman: schneller geht aber hat auf der strasse
[08.04.2016 | 19:35:49] Florian.Mrpacman: parken sie rückwerts ein
[08.04.2016 | 19:36:05] Florian.Mrpacman: ajaja
[08.04.2016 | 19:36:12] Georg.Dampfnudel: Es ist noch luft
[08.04.2016 | 19:36:27] Georg.Dampfnudel: Kucken sie
[08.04.2016 | 19:36:38] Florian.Mrpacman: so wäre richtig
[08.04.2016 | 19:36:39] Georg.Dampfnudel: Es wäre noch Luft gewesse 
[08.04.2016 | 19:37:07] Florian.Mrpacman: jetzt muss die karre heu
[08.04.2016 | 19:37:14] Florian.Mrpacman: heile gemmacht werden
[08.04.2016 | 19:37:28] Georg.Dampfnudel: Guten Tag :)
[08.04.2016 | 19:37:35] Maik.Hanna: hey 
[08.04.2016 | 19:37:45] Maik.Hanna: brauch nen Führerschein
[08.04.2016 | 19:37:50] Georg.Dampfnudel: Herr Florian aber eigentlich gilt das ja nicht als Fehler ?
[08.04.2016 | 19:38:31] Maik.Hanna: ich
[08.04.2016 | 19:38:52] Georg.Dampfnudel: Wart Maik das Auto gehört noch Repariert
[08.04.2016 | 19:39:02] Florian.Mrpacman: du kansnst gleich weiter machen
[08.04.2016 | 19:39:49] Georg.Dampfnudel: Maik den OOC Chat kannst du mit /ooc Benutzen da kannst du dich mit jeden hier auf dem Server 
[08.04.2016 | 19:39:53] Georg.Dampfnudel: verständigen
[08.04.2016 | 19:40:00] Maik.Hanna: okay
[08.04.2016 | 19:40:19] Ben.Akaisda: hallo was kann ich fpr sie tun ?
[08.04.2016 | 19:40:25] Ben.Akaisda: *für
[08.04.2016 | 19:40:32] Florian.Mrpacman: könnten sie bitte mein heck rparieren
[08.04.2016 | 19:40:39] Florian.Mrpacman: reparieren*
[08.04.2016 | 19:41:01] Ben.Akaisda: ja kann ich machen kostet dan 150 , ich stelle ihn  gleich die rechnung aus
[08.04.2016 | 19:41:10] Florian.Mrpacman: ok super
[08.04.2016 | 19:41:35] Florian.Mrpacman: georg das wird dann mehr für dich ne
[08.04.2016 | 19:41:44] Georg.Dampfnudel: Maik
[08.04.2016 | 19:41:47] Maik.Hanna: jo
[08.04.2016 | 19:41:50] Ben.Akaisda: einmal bitte bezahlen 
[08.04.2016 | 19:42:04] Georg.Dampfnudel: Ok
[08.04.2016 | 19:42:05] Ben.Akaisda: danke ich mach mich an die arbeit
[08.04.2016 | 19:42:20] Florian.Mrpacman: das wären dann 1650
[08.04.2016 | 19:42:47] Maik.Hanna: FÜR ?
[08.04.2016 | 19:43:00] Florian.Mrpacman: führerschein
[08.04.2016 | 19:43:04] Georg.Dampfnudel: Nicht für mich ?
[08.04.2016 | 19:43:06] Maik.Hanna: okay
[08.04.2016 | 19:43:08] Georg.Dampfnudel: z
[08.04.2016 | 19:43:15] Florian.Mrpacman: somst ostet der 1500
[08.04.2016 | 19:43:20] Maik.Hanna: wie bezahl ich
[08.04.2016 | 19:43:23] Florian.Mrpacman: sonst*
[08.04.2016 | 19:43:31] Georg.Dampfnudel: Ich muss ja 1650 bezahlen :D
[08.04.2016 | 19:43:38] Georg.Dampfnudel: Ich habe den Kofferraum Deckel Beschädigt
[08.04.2016 | 19:43:41] Florian.Mrpacman: die rechnung stelle ich aus
[08.04.2016 | 19:43:49] Ben.Akaisda: so fertig so gut wie neu ich wünsche ihnen eine schöne weiterfahrt
[08.04.2016 | 19:43:56] Maik.Hanna: wie bezahl ich ?
[08.04.2016 | 19:44:02] Florian.Mrpacman: danke Ben bist der beste
[08.04.2016 | 19:44:07] Ben.Akaisda: bitte
[08.04.2016 | 19:44:14] Maik.Hanna: Guten Tag Sir.
[08.04.2016 | 19:44:38] Georg.Dampfnudel: Maik mit /sende Name Betrag
[08.04.2016 | 19:44:44] Maik.Hanna: wie soll ich bezahlen bin neu
[08.04.2016 | 19:44:47] Georg.Dampfnudel: Florian stellst du mir den Schein dann aus ?
[08.04.2016 | 19:44:54] Georg.Dampfnudel: Maik mit /sende Name Betrag
[08.04.2016 | 19:45:00] Florian.Mrpacman: wir sind noch nicht fertig
[08.04.2016 | 19:45:18] Georg.Dampfnudel: Wohin ?
[08.04.2016 | 19:45:19] Florian.Mrpacman: zurück zu fahrschule
[08.04.2016 | 19:48:19] Georg.Dampfnudel: tDer haut ab
[08.04.2016 | 19:48:43] Georg.Dampfnudel: Schnell
[08.04.2016 | 19:48:51] Florian.Mrpacman: wo ist die
[08.04.2016 | 19:48:55] Georg.Dampfnudel: Hier
[08.04.2016 | 19:49:24] Georg.Dampfnudel: Du musst die Zuschließen
[08.04.2016 | 19:49:38] Georg.Dampfnudel: Könntest du mich zur Polizei fahrne ß
[08.04.2016 | 19:50:10] Georg.Dampfnudel: Oder zum Autohaus
[08.04.2016 | 19:50:27] Florian.Mrpacman: du musst noch denn führerschein annehmen
[08.04.2016 | 19:51:13] Georg.Dampfnudel: Habe ich ja schon oder ?
[08.04.2016 | 19:51:19] Georg.Dampfnudel: Stell nochmal aus
[08.04.2016 | 19:51:24] Georg.Dampfnudel: Oder ne habe schon
[08.04.2016 | 19:51:27] Georg.Dampfnudel: Danke
[08.04.2016 | 19:51:33] Florian.Mrpacman: komm her
[08.04.2016 | 19:52:46] Florian.Mrpacman: lol
[08.04.2016 | 19:52:54] Matze.Gamingtv: Du hast den 14 Tages schein
[08.04.2016 | 20:02:01] Matze.Gamingtv: Ich sag Maxi bescheid
[08.04.2016 | 20:02:05] Georg.Dampfnudel: Ok
[08.04.2016 | 20:05:12] /me Ben.Akaisda: hat einen Kofferraum (Fahrzeug: Stratum) geöffnet.
[08.04.2016 | 20:07:45] /me Ben.Akaisda: verwendet sein Verbandszeug.
[08.04.2016 | 20:12:48] /me Ben.Akaisda: verwendet sein Verbandszeug.
[08.04.2016 | 20:13:04] /me Ben.Akaisda: nimmt eine Duchifal Tablette.
[08.04.2016 | 20:52:49] Florian.Mrpacman: bitte zu fahrschule
[08.04.2016 | 20:52:50] Ben.Akaisda: wohin ?
[08.04.2016 | 20:52:52] Ben.Akaisda: ok
[08.04.2016 | 20:55:08] Florian.Mrpacman: hä
[08.04.2016 | 20:55:21] Ben.Akaisda: muss kurtz was kucken :D
[08.04.2016 | 20:55:27] Florian.Mrpacman: ok 
[08.04.2016 | 20:55:45] Florian.Mrpacman: alles klar
[08.04.2016 | 20:56:03] Florian.Mrpacman: waffen asenal
[08.04.2016 | 20:56:15] Ben.Akaisda: hab mich nämlich gewundert wo man die flugzeuge kaufen kann (helis)
[08.04.2016 | 20:56:26] Florian.Mrpacman: naja helis 
[08.04.2016 | 20:56:47] Florian.Mrpacman: hydra
[08.04.2016 | 20:56:55] Ben.Akaisda: mein ich doch :D
[08.04.2016 | 20:57:09] Florian.Mrpacman: ganz normal ne
[08.04.2016 | 20:57:46] Ben.Akaisda: klaro warum dan nicht :D , helf mir la kurtz matze hat mir nicht verraten wo die fahrschule 
[08.04.2016 | 20:57:50] Ben.Akaisda: hingekommen is
[08.04.2016 | 20:58:06] Florian.Mrpacman: das rote $
[08.04.2016 | 20:58:17] Ben.Akaisda: aa ok danke ^^
[08.04.2016 | 20:58:25] Florian.Mrpacman: kein problem
[08.04.2016 | 20:59:22] Florian.Mrpacman: danke
[08.04.2016 | 20:59:24] Ben.Akaisda: so bitteschön
[08.04.2016 | 21:00:11] Ben.Akaisda: t
[09.04.2016 | 14:04:46] Ben.Akaisda: guten tag sir
[09.04.2016 | 14:04:49] Talorin.Goldberry: Guten Tag
[09.04.2016 | 14:04:56] Ben.Akaisda: was brauchen sie alles ?
[09.04.2016 | 14:05:05] Talorin.Goldberry: Ich brauche eine Tüv Plakette bitte
[09.04.2016 | 14:05:21] Ben.Akaisda: okey soll ich die stoßstange auch gleich mit machen ?
[09.04.2016 | 14:05:26] Talorin.Goldberry: Ja bitte
[09.04.2016 | 14:06:09] Marcel.Gamer: nqa du 
[09.04.2016 | 14:06:11] Marcel.Gamer: na 
[09.04.2016 | 14:06:27] Talorin.Goldberry: Kenn ich sie?
[09.04.2016 | 14:06:44] Marcel.Gamer: ja ich bin der leiter von denn medics :D
[09.04.2016 | 14:06:56] Ben.Akaisda: danke ich mach mich jetzt an die arbeit
[09.04.2016 | 14:06:57] Talorin.Goldberry: Sie sind das also
[09.04.2016 | 14:07:17] Marcel.Gamer: ja und sie sind dann der leiter von feuerwehr 
[09.04.2016 | 14:07:25] Talorin.Goldberry: Exakt der bin ich
[09.04.2016 | 14:07:38] Talorin.Goldberry: Ich habe gehört wir werden fusioniert
[09.04.2016 | 14:07:40] Marcel.Gamer: sie müssen die schraube da noch fest machen 
[09.04.2016 | 14:07:45] Talorin.Goldberry: :D
[09.04.2016 | 14:07:57] Marcel.Gamer: ja habe ich auch gehört vom bürgermeister 
[09.04.2016 | 14:08:11] Ben.Akaisda: bitte wir sind hir nicht bei ATU ;D
[09.04.2016 | 14:08:16] Talorin.Goldberry: xD
[09.04.2016 | 14:08:31] Ben.Akaisda: so feritg
[09.04.2016 | 14:08:36] Talorin.Goldberry: Die Firma dankt
[09.04.2016 | 14:08:40] Ben.Akaisda: *Fertig
[09.04.2016 | 14:08:41] Marcel.Gamer: aber bei atx xD
[09.04.2016 | 14:18:00] Marcel.Gamer: komm mache auf ich schleppe es ab :D
[09.04.2016 | 14:18:31] Marcel.Gamer: welches davon ?
[09.04.2016 | 14:18:43] Talorin.Goldberry: das da mitte links
[09.04.2016 | 14:18:57] Talorin.Goldberry: genau
[09.04.2016 | 14:19:24] Talorin.Goldberry: Wieso machst du eig. Abschlepparbeiten
[09.04.2016 | 14:19:29] Talorin.Goldberry: Sie*
[09.04.2016 | 14:19:44] Marcel.Gamer: weil du dir auch ein abschleppwagen kaufen kannst für feuerwehr
[09.04.2016 | 14:20:25] Marcel.Gamer: ich darf das net 
[09.04.2016 | 14:20:29] Marcel.Gamer: -.-
[09.04.2016 | 14:23:03] /me Georg.Dampfnudel: hat einen abgeschlossenen Kofferraum (Fahrzeug: Landstalker) aufgebrochen.
[09.04.2016 | 14:23:21] /me Georg.Dampfnudel: hat einen abgeschlossenen Kofferraum (Fahrzeug: Landstalker) aufgebrochen.
[09.04.2016 | 14:23:59] Ben.Akaisda: ich mach dan eine gesamt rechnung
[09.04.2016 | 14:24:09] Georg.Dampfnudel: Ok an die Fraktion bitte
[09.04.2016 | 14:24:43] Ben.Akaisda: wen du als polizist bist geht das automatisch vom fraki konto
[09.04.2016 | 14:25:01] Ben.Akaisda: also sogasagt wen du duty bist
[09.04.2016 | 14:25:18] Georg.Dampfnudel: ok
[09.04.2016 | 14:26:44] Georg.Dampfnudel: Gibts da eine Benutzungsgrenze :D ?
[09.04.2016 | 14:26:53] Ben.Akaisda: ja :D
[09.04.2016 | 14:27:42] Ben.Akaisda: daert jetzt ein paar sekunden 
[09.04.2016 | 14:27:46] Ben.Akaisda: *dauert
[09.04.2016 | 14:27:49] Georg.Dampfnudel: Ok
[09.04.2016 | 14:29:21] Ben.Akaisda: so fertig
[09.04.2016 | 14:29:32] Georg.Dampfnudel: Ok danke
[09.04.2016 | 14:29:38] Ben.Akaisda: bitte
[09.04.2016 | 14:54:55] /me Ben.Akaisda: stattet sich mit einem kleinen Dildo aus.
[09.04.2016 | 14:55:24] /me Ben.Akaisda: stattet sich mit einem großen Dildo aus.
[09.04.2016 | 14:56:08] /me Marcel.Gamer: stattet sich mit einem großen Dildo aus.
[09.04.2016 | 15:01:22] Georg.Dampfnudel: Fail
[09.04.2016 | 15:01:28] Georg.Dampfnudel: Kann man hier die Klappe hochmachen ?
[09.04.2016 | 15:01:41] Ben.Akaisda: garnicht
[09.04.2016 | 15:01:50] Ben.Akaisda: geht aber duch wende durch
[09.04.2016 | 15:01:52] Georg.Dampfnudel: Darf ich mal eine Testrunde drehen ?
[09.04.2016 | 15:02:16] Georg.Dampfnudel: Ich brings wieder hier her ok ?
[09.04.2016 | 15:02:19] Ben.Akaisda: jo
[09.04.2016 | 15:06:27] Florian.Mrpacman: XD
[09.04.2016 | 15:06:30] Ben.Akaisda: XD
[09.04.2016 | 15:06:46] Marcel.Gamer: du wurdest gedildot
[09.04.2016 | 15:06:57] Florian.Mrpacman: habe ich gemerkt
[09.04.2016 | 15:07:33] Georg.Dampfnudel: Ben
[09.04.2016 | 15:17:12] Ben.Akaisda: hi
[09.04.2016 | 15:17:14] Florian.Mrpacman: das is put
[09.04.2016 | 15:17:23] Marcel.Gamer: mach mal ./autoanfirma
[09.04.2016 | 15:17:54] Ben.Akaisda: warte komm gleich mit abschlepper
[09.04.2016 | 15:18:17] Marcel.Gamer: pacmann
[09.04.2016 | 15:18:21] Florian.Mrpacman: ja
[09.04.2016 | 15:18:34] Marcel.Gamer: mach mal bei allen ./autoanfirma
[09.04.2016 | 15:18:46] Florian.Mrpacman: habe ich
[09.04.2016 | 15:19:08] Florian.Mrpacman: danke
[09.04.2016 | 15:20:02] Florian.Mrpacman: schieb mal bitte
[09.04.2016 | 15:20:12] Marcel.Gamer: wasn ?
[09.04.2016 | 15:20:25] Florian.Mrpacman: der will net fliegen
[09.04.2016 | 15:21:55] Florian.Mrpacman: ben warte mal bitte
[09.04.2016 | 15:22:19] Matze.Gamingtv: Der Motor ist am Arsch
[09.04.2016 | 15:22:23] Matze.Gamingtv: Du musst den Reparieren
[09.04.2016 | 15:22:28] Florian.Mrpacman: ok nimm mit
[09.04.2016 | 15:23:02] Florian.Mrpacman: was denkt der sich wohl XD
[09.04.2016 | 15:23:33] Ben.Akaisda: hätte doch lieber mit heli abschleppen sollen :D
[09.04.2016 | 15:23:52] Florian.Mrpacman: naja so geht auch
[09.04.2016 | 15:25:05] Florian.Mrpacman: haha
[09.04.2016 | 15:25:05] Ben.Akaisda: duck :D
[09.04.2016 | 15:25:18] Florian.Mrpacman: ich lach mich grad so kaputt
[09.04.2016 | 15:25:28] Ben.Akaisda: geht schon :D
[09.04.2016 | 15:27:27] Florian.Mrpacman: oha
[09.04.2016 | 15:30:42] /me Ron.Noname: prüft die Tüv Plakette auf haltbarkeit.
[09.04.2016 | 15:30:42] /me Ron.Noname: klebt eine neue Tüv Plakette auf das Kennzeichen
[09.04.2016 | 15:30:43] Ron.Noname:  Ihr Fahrzeug brennt, bitte rufen Sie die Feuerwehr um den Brand zu stoppen (/113 Autobrand)
[09.04.2016 | 15:30:45] /me Ron.Noname: prüft die Tüv Plakette auf haltbarkeit.
[09.04.2016 | 15:30:49] /me Ron.Noname: prüft die Tüv Plakette auf haltbarkeit.
[09.04.2016 | 15:30:52] /me Ron.Noname: prüft die Tüv Plakette auf haltbarkeit.
[09.04.2016 | 15:31:01] /me Ron.Noname: prüft die Tüv Plakette auf haltbarkeit.
[09.04.2016 | 15:31:09] Ron.Noname:  Ihr Fahrzeug brennt, bitte rufen Sie die Feuerwehr um den Brand zu stoppen (/113 Autobrand)
[09.04.2016 | 15:31:23] Ron.Noname: Reparaturen an Fahrzeugen werden bei einer Reparatursumme von unter 200 Vero nicht durchgeführt.
[09.04.2016 | 15:33:29] Mr.Pedo: MIke?
[09.04.2016 | 15:33:31] Mr.Jacksons: ay
[09.04.2016 | 15:33:35] Mr.Jacksons: joxD
[09.04.2016 | 15:34:03] Mr.Jacksons: so schlecht ist der server nicht..
[09.04.2016 | 15:34:20] Mr.Pedo: Ka war nur hier bis jz
[09.04.2016 | 15:34:29] Mr.Jacksons: ich ucxh xDD
[09.04.2016 | 15:34:42] Mr.Jacksons: egal... 500 vero
[09.04.2016 | 15:34:49] Mr.Pedo: xd+
[09.04.2016 | 15:34:51] Mr.Pedo: 19k
[09.04.2016 | 15:35:00] Mr.Jacksons: jaman xDDD
[09.04.2016 | 15:36:34] /me Elias.Meier: beginnt jetzt mit der Repatur und bittet sie sich zu gedulden!
[09.04.2016 | 15:36:34] /me Elias.Meier: beginnt jetzt mit der Repatur und bittet sie sich zu gedulden!
[09.04.2016 | 15:36:34] /me Elias.Meier: begrüßt sie bei Autofix und bittet sie den Motor zu stoppen und auszusteigen.
[09.04.2016 | 15:36:46] Mr.Jacksons: ist hier intertrans noch ?
[09.04.2016 | 15:36:49] Mr.Pedo: kp
[09.04.2016 | 15:37:00] Mr.Pedo: ja
[09.04.2016 | 15:37:15] Georg.Dampfnudel: ANhalten
[09.04.2016 | 15:37:51] Matze.Gamingtv: Würde ich nicht machen was du vor hast
[09.04.2016 | 15:38:15] Florian.Mrpacman: ?
[09.04.2016 | 15:40:10] /me Blablabla.Blablabla: zeigt seinen Personalausweiß.
[09.04.2016 | 15:42:57] Pimmel.Kopf: nein
[09.04.2016 | 15:43:12] Pimmel.Kopf: du bist scheisse
[09.04.2016 | 15:43:20] Blablabla.Blablabla: DU HURENSOHN
[09.04.2016 | 15:43:29] Pimmel.Kopf: ey du 
[09.04.2016 | 15:43:34] Georg.Dampfnudel: Was ist ?
[09.04.2016 | 15:43:36] Pimmel.Kopf: was soll das
[09.04.2016 | 15:43:46] Georg.Dampfnudel: RDM
[09.04.2016 | 15:44:08] Georg.Dampfnudel: Sowie Diebstahl
[09.04.2016 | 15:44:13] Pimmel.Kopf: neee
[09.04.2016 | 15:44:20] Georg.Dampfnudel: Du nicht Blablabla
[09.04.2016 | 15:44:25] Pimmel.Kopf: und sie machen freiheits
[09.04.2016 | 15:44:39] Georg.Dampfnudel: Nein
[09.04.2016 | 15:44:53] Georg.Dampfnudel: Pimmel
[09.04.2016 | 15:44:59] Pimmel.Kopf: ficken
[09.04.2016 | 15:45:02] Pimmel.Kopf: was wills du
[09.04.2016 | 15:45:32] Georg.Dampfnudel: Hast du drauß Gelertn ?
[09.04.2016 | 15:45:35] Georg.Dampfnudel: Gelernt*
[09.04.2016 | 15:45:40] Pimmel.Kopf: wo raus
[09.04.2016 | 15:45:45] Pimmel.Kopf: was wills du 
[09.04.2016 | 15:45:53] Georg.Dampfnudel: Du hast RDM betrieben
[09.04.2016 | 15:45:59] Pimmel.Kopf: was habe ich
[09.04.2016 | 15:46:20] Pimmel.Kopf: lass sie mich frei
[09.04.2016 | 15:46:41] Pimmel.Kopf: arsc h
[09.04.2016 | 15:46:44] Pimmel.Kopf: penis
[09.04.2016 | 15:46:46] Pimmel.Kopf: du has keinen
[09.04.2016 | 15:46:52] Pimmel.Kopf: verpiss dich
[09.04.2016 | 15:46:57] Pimmel.Kopf: du bis scheisse
[09.04.2016 | 15:47:17] Pimmel.Kopf:  Bitte verlassen Sie das Ares Gelände
[09.04.2016 | 15:47:17] Pimmel.Kopf:  Bitte verlassen Sie das Ares Gelände
[09.04.2016 | 15:47:17] Pimmel.Kopf:  Bitte verlassen Sie das Ares Gelände
[09.04.2016 | 15:47:17] Pimmel.Kopf:  Bitte verlassen Sie das Ares Gelände
[09.04.2016 | 15:47:18] Pimmel.Kopf:  Bitte verlassen Sie das Ares Gelände
[09.04.2016 | 15:47:18] Pimmel.Kopf:  Bitte verlassen Sie das Ares Gelände
[09.04.2016 | 15:47:18] Pimmel.Kopf:  Bitte verlassen Sie das Ares Gelände
[09.04.2016 | 15:47:19] Pimmel.Kopf:  Bitte verlassen Sie das Ares Gelände
[09.04.2016 | 15:47:19] Pimmel.Kopf:  Bitte verlassen Sie das Ares Gelände
[09.04.2016 | 15:47:19] Pimmel.Kopf:  Bitte verlassen Sie das Ares Gelände
[09.04.2016 | 15:47:19] Pimmel.Kopf:  Bitte verlassen Sie das Ares Gelände
[09.04.2016 | 15:47:20] Pimmel.Kopf:  Bitte verlassen Sie das Ares Gelände
[09.04.2016 | 15:47:20] Pimmel.Kopf:  Bitte verlassen Sie das Ares Gelände
[09.04.2016 | 15:47:20] Pimmel.Kopf:  Bitte verlassen Sie das Ares Gelände
[09.04.2016 | 15:47:20] Pimmel.Kopf:  Bitte verlassen Sie das Ares Gelände
[09.04.2016 | 15:47:20] Pimmel.Kopf:  Bitte verlassen Sie das Ares Gelände
[09.04.2016 | 15:47:20] Pimmel.Kopf:  Bitte verlassen Sie das Ares Gelände
[09.04.2016 | 15:47:20] Pimmel.Kopf:  Bitte verlassen Sie das Ares Gelände
[09.04.2016 | 15:47:20] Pimmel.Kopf:  Bitte verlassen Sie das Ares Gelände
[09.04.2016 | 15:47:21] Pimmel.Kopf:  Bitte verlassen Sie das Ares Gelände
[09.04.2016 | 15:47:21] Pimmel.Kopf:  Bitte verlassen Sie das Ares Gelände
[09.04.2016 | 15:47:21] Pimmel.Kopf:  Bitte verlassen Sie das Ares Gelände
[09.04.2016 | 15:47:21] Pimmel.Kopf:  Bitte verlassen Sie das Ares Gelände
