[22.03.2016 | 16:21:55] Talorin.Goldberry: Jemand ne Ahnung wo die vinetwork Base ist? Chat per /ooc [Text]
[23.03.2016 | 21:54:19] Matze.Gamingtv: Bestelle ich gleich
[23.03.2016 | 21:54:32] Talorin.Goldberry: 3 mal LF und 3 mal mit Leiter
[23.03.2016 | 21:54:38] Talorin.Goldberry: LF=Löschfahrzeug
[23.03.2016 | 21:54:43] Matze.Gamingtv: Brauch die MTA Namen
[23.03.2016 | 21:55:43] Talorin.Goldberry: Firetruck und Firetruck (ladder)
[23.03.2016 | 21:56:31] Talorin.Goldberry: Fire Truck 407 Fire Truck (Ladder) 544
[23.03.2016 | 21:56:55] Talorin.Goldberry: Hilfe :D
[23.03.2016 | 21:58:32] Matze.Gamingtv: :D
[23.03.2016 | 22:03:51] Matze.Gamingtv: Wir haben ein kleines Problem
[23.03.2016 | 22:04:13] Matze.Gamingtv: Feuerwehr Autos sind nicht in der Liste eingetragen damit ich sie bestellen kann
[23.03.2016 | 22:04:50] Talorin.Goldberry: anderes Autohaus
[23.03.2016 | 22:05:03] Matze.Gamingtv: Ich bin das einzige Autoshaus was bestellen kann
[23.03.2016 | 22:06:44] Matze.Gamingtv: Du wirst dir noch den Schlüssel geben müssen
[23.03.2016 | 22:11:54] Talorin.Goldberry: Ich mach mal kurz Freeroam an...
[23.03.2016 | 22:11:56] Matze.Gamingtv: Entpacken
[23.03.2016 | 22:12:04] Talorin.Goldberry: gleich. Ja
[23.03.2016 | 22:12:21] Matze.Gamingtv: Ist an
[23.03.2016 | 22:14:58] Talorin.Goldberry: Ich hass des
[23.03.2016 | 22:20:18] Talorin.Goldberry: Also hab mich entschieden. Ich übernehm Rescue als Unternehmen
[23.03.2016 | 22:20:43] Matze.Gamingtv: Oky
[23.03.2016 | 22:20:50] Matze.Gamingtv: Also Medic und Feuerwehr
[23.03.2016 | 22:21:00] Talorin.Goldberry: Jep
[23.03.2016 | 22:21:27] Matze.Gamingtv: Da wirst aber langsam mal ein Headset brauchen bei der Member anzahl was dann kommen, Da es doch die meisten User wollen
[23.03.2016 | 22:21:37] Talorin.Goldberry: Echt
[23.03.2016 | 22:21:43] Talorin.Goldberry: Ich hab eins :P
[23.03.2016 | 22:21:45] Matze.Gamingtv: Jup
[23.03.2016 | 22:21:52] Matze.Gamingtv: Why noch nicht im ts?
[23.03.2016 | 22:22:40] Talorin.Goldberry: Häng oft ab im TS von Anno Kumpels. Gute Frage
[23.03.2016 | 22:22:58] Matze.Gamingtv: Und noch nicht bei uns? OHA das sag ich Ben
[23.03.2016 | 22:23:14] Talorin.Goldberry: Hab das Ding erst wenige Tage
[23.03.2016 | 22:23:27] Matze.Gamingtv: Wir sind jeden Tag im Ts
[23.03.2016 | 22:23:51] Talorin.Goldberry: Der einzige der es weiß is Vega :P
[23.03.2016 | 22:24:02] Matze.Gamingtv: Why er?
[23.03.2016 | 22:24:46] Talorin.Goldberry: Hat mich gefragt ob ich Headset hab, hab ich ja gesagt, aber hänge grad ab bei jmd. andren
[23.03.2016 | 22:24:59] Matze.Gamingtv: Ok.....
[23.03.2016 | 22:25:24] Talorin.Goldberry: Einen Firetruck hätte ich noch gerne. Dann ist das gut formiert in der Base
[23.03.2016 | 22:25:34] Talorin.Goldberry: Firetruck LF (Löschfahrzeug)
[23.03.2016 | 22:25:37] Matze.Gamingtv: Du musst mal bei uns abschillen
[23.03.2016 | 22:26:06] Talorin.Goldberry: Hab sowieso grade Konflikte mit denen von Anno. Warum ich Team verlassen hab...
[23.03.2016 | 22:26:16] Matze.Gamingtv: Why?
[23.03.2016 | 22:26:37] Talorin.Goldberry: Ich hab das Team verlassen, weil die nie aktiv waren, nie was gemacht haben
[23.03.2016 | 22:26:44] Talorin.Goldberry: Und das Forum vergammelt
[23.03.2016 | 22:26:46] Matze.Gamingtv: Ach so Ok
[23.03.2016 | 22:27:02] Talorin.Goldberry: Und das Forum voller Plugins wort wörtlich zugeschissen war
[23.03.2016 | 22:27:12] Matze.Gamingtv: :D
[23.03.2016 | 22:32:15] Matze.Gamingtv: Die haben die sierene noch nicht
[23.03.2016 | 22:40:18] Matze.Gamingtv: Maxi
[23.03.2016 | 22:40:26] Matze.Gamingtv: Bitte noch mal InterTrans
[23.03.2016 | 22:40:29] Matze.Gamingtv: Danks
[23.03.2016 | 22:40:36] Talorin.Goldberry: Bring noch schnell das zur Base. Dann da
[23.03.2016 | 22:40:58] Talorin.Goldberry: One Minute
[23.03.2016 | 22:47:26] Talorin.Goldberry: 2 Rettungshubschrauber bitte noch. 1 für Feuerwehr, 1 für Medic
[23.03.2016 | 23:01:48] Matze.Gamingtv: Feuerwehr?
[23.03.2016 | 23:01:57] Matze.Gamingtv: Kommt AutoFix
[23.03.2016 | 23:02:03] Matze.Gamingtv: Autolöschen
[23.03.2016 | 23:02:12] Talorin.Goldberry: Ich will meinen Account gelöscht haben und die sagen Nein
[23.03.2016 | 23:02:39] Talorin.Goldberry: Feuerwehr ist auf dem Weg #Code2
[23.03.2016 | 23:03:03] Matze.Gamingtv: Aus Datenrechtlichen Gesetzt müssen sie auf Aufforderung den Account löschen, Wenn sie sich Weigern kannst du sie Anzeigen
[23.03.2016 | 23:03:24] Talorin.Goldberry: Hab schon Anwalt eingeschalten
[23.03.2016 | 23:07:32] Talorin.Goldberry: Das nächste mal bitte /113 :D
[23.03.2016 | 23:14:42] Olaf.Guenther: Hachja. 2 unterschiedliche Clients gleichzeitig <3
[23.03.2016 | 23:14:50] Talorin.Goldberry: aber sowas von :D
[23.03.2016 | 23:14:54] Matze.Gamingtv: LW
[23.03.2016 | 23:15:09] Talorin.Goldberry: Ja
[23.03.2016 | 23:15:09] Olaf.Guenther: Ja
[23.03.2016 | 23:16:01] Talorin.Goldberry: Olaf?
[23.03.2016 | 23:17:22] Matze.Gamingtv: Ich bin in einer GANG :D
[23.03.2016 | 23:18:47] Talorin.Goldberry: Warte. Man kann Gang und Unternehmer gleichzeitig sein...
[23.03.2016 | 23:18:53] Matze.Gamingtv: Yes
[23.03.2016 | 23:21:16] Matze.Gamingtv: Jeder ist jetzt in einer Gang
[23.03.2016 | 23:21:41] Matze.Gamingtv: Wir sind eh am besten dafür geeignet
[23.03.2016 | 23:22:06] Talorin.Goldberry: bei der Feuerwehr Base kann man noch alles an GLas kaputt machen
[23.03.2016 | 23:33:50] Matze.Gamingtv: Habt ihr was gegen ein Restart?
[23.03.2016 | 23:33:58] Matze.Gamingtv: So in 5 Min
[23.03.2016 | 23:34:20] Talorin.Goldberry: Passt
[23.03.2016 | 23:38:15] Matze.Gamingtv: Kann ich Restarten ?
[23.03.2016 | 23:38:21] Talorin.Goldberry: ja
[23.03.2016 | 23:39:02] Matze.Gamingtv: Dann mal alle Verlassen
[01.04.2016 | 21:34:34] Talorin.Goldberry: Hallo an alle :=) OOC Chat mit /ooc [Text]
[01.04.2016 | 21:37:06] Marcel.Zockerhd: hii
[01.04.2016 | 21:47:39] Marcel.Zockerhd: hallo
[08.04.2016 | 16:05:22] Matze.Gamingtv: Maxi beleb mich mal wieder
[08.04.2016 | 16:05:35] Talorin.Goldberry: Bin Grad in SF. Komm so schnell wie möglich
[08.04.2016 | 16:05:41] Talorin.Goldberry: Max 2 Min
[08.04.2016 | 16:05:50] Matze.Gamingtv: Du hast nur noch 2.10
[08.04.2016 | 16:06:16] Matze.Gamingtv: 1:30
[08.04.2016 | 16:06:35] Matze.Gamingtv: Bin an der Pyramide
[08.04.2016 | 16:07:23] Matze.Gamingtv: An den Müljob seite
[08.04.2016 | 16:07:37] Matze.Gamingtv: Nur noch 20 sec
[08.04.2016 | 16:08:02] Matze.Gamingtv: Und bin weg
[08.04.2016 | 16:08:26] Talorin.Goldberry: In dem Moment -_-
[08.04.2016 | 16:10:28] Matze.Gamingtv: Maxi freust du dich das wir Online gehen?
[08.04.2016 | 16:10:56] Talorin.Goldberry: Jaa. Aber ich glaub jeder freut sich :D
[08.04.2016 | 16:13:30] Talorin.Goldberry: Mist Mist Mist. Jetzt bräuchte ich einen autofixler
[08.04.2016 | 16:14:51] Matze.Gamingtv: why=
[08.04.2016 | 16:15:13] Talorin.Goldberry: Auto umgedreht :/
[08.04.2016 | 16:15:17] Matze.Gamingtv: wo?
[08.04.2016 | 16:15:43] Talorin.Goldberry: An der aktuellen Pos. Wo ich bin. K.A. wie das Eck heißt
[08.04.2016 | 16:15:58] Matze.Gamingtv: Was ist den in der nähe
[08.04.2016 | 16:16:05] Talorin.Goldberry: Autofix Base
[08.04.2016 | 16:16:21] Talorin.Goldberry: Da wo diese komische Autobahnüberführung ist
[08.04.2016 | 16:16:47] Talorin.Goldberry: Links oberhalb von Base (Auf der F11 Map)
[08.04.2016 | 16:20:01] Talorin.Goldberry: Find das genial: Du gehst als Ares Autohaus in den Dienst. Du bist also das Autohaus :P
[08.04.2016 | 16:20:31] Matze.Gamingtv: Genau ich bin das Autohaus, So wie du das Rescus bist :D
[08.04.2016 | 16:24:26] Talorin.Goldberry: Ich will das PW dann entfernen :P ?
[08.04.2016 | 16:30:00] Talorin.Goldberry: Es ist soweit. In 10 Sekunden
[08.04.2016 | 16:31:05] Talorin.Goldberry: Kann ich?
[08.04.2016 | 16:35:11] Matze.Gamingtv: Ja
[08.04.2016 | 16:35:37] Matze.Gamingtv: Du kannst das Passwort löschen danach gibts aber ein Allgemeiner Restart
[08.04.2016 | 16:35:47] Talorin.Goldberry: Ok
[08.04.2016 | 16:36:28] Matze.Gamingtv: Sag bescheid wenns gelöscht ist
[08.04.2016 | 16:36:42] Talorin.Goldberry: Done
[08.04.2016 | 16:50:14] Talorin.Goldberry: mhm
[08.04.2016 | 16:50:19] Matze.Gamingtv: Was los?
[08.04.2016 | 16:50:50] Talorin.Goldberry: Feuer löschen geht voll lahm
[08.04.2016 | 16:51:05] Matze.Gamingtv: Soll ja ned so schnell gehen ;D
[08.04.2016 | 16:51:27] Talorin.Goldberry: Jetzt ersma nach SF fahren. Da isn Baum umgestürzt x
[08.04.2016 | 16:51:45] Matze.Gamingtv: Zentrale an 3322 Verstanden :D
[08.04.2016 | 17:01:38] Talorin.Goldberry: Willkommen Georg.Dampfnudel.
[08.04.2016 | 17:03:23] Talorin.Goldberry: OOC Chat mit /ooc [Text]
[08.04.2016 | 17:23:41] Matze.Gamingtv: Maxi wo bist?
[08.04.2016 | 17:28:03] Georg.Dampfnudel: Matze kann ich bei euch Tüv machen am Ares ?
[08.04.2016 | 17:28:32] Matze.Gamingtv: Tüv ist der Autofix zuständig.
[08.04.2016 | 17:29:20] Georg.Dampfnudel: Ok wie viel kostet bei euch ein Polizei Cheetah ?
[08.04.2016 | 17:30:53] Matze.Gamingtv: Ein Polizei Cheetah kostet 25k
[08.04.2016 | 17:31:05] Matze.Gamingtv: Alle Polizei / Unternehmen Fahrzeuge
[08.04.2016 | 17:32:14] Georg.Dampfnudel: Dann bestell ich so einen und einen Polizei Maverick wenn es geht ?
[08.04.2016 | 17:32:29] Matze.Gamingtv: Werde ich bestellen sobald es möglich ist.
[08.04.2016 | 17:32:38] Georg.Dampfnudel: Ok
[08.04.2016 | 17:32:41] Matze.Gamingtv: Da leider der Hafen grade mit Bestellungen Voll ist.
[08.04.2016 | 17:34:53] Matze.Gamingtv: Level Up
[08.04.2016 | 17:38:50] Matze.Gamingtv: Wir heißen euch Herzlich Willkomen
[08.04.2016 | 17:48:06] Matze.Gamingtv: Ihr könnt in den /ooc Chat schreiben
[08.04.2016 | 17:52:38] Matze.Gamingtv: Kommt doch auf unsern Teamspeak! 79.133.59.107
[08.04.2016 | 17:52:49] Marcel.Gamer: intertrans macht mal schneller :DA
[08.04.2016 | 17:54:56] Matze.Gamingtv: Sry, Der war noch nicht gestartet
[08.04.2016 | 18:04:34] Matze.Gamingtv: Florian, Why am Pc von deim Kumpel und nicht bei dir daheim?
[08.04.2016 | 18:16:02] Jay.Mcmillen: ello
[08.04.2016 | 18:21:17] Matze.Gamingtv: Die Stadt halle ist der Gelbe Punkt auf der F11 Karte
[08.04.2016 | 18:22:03] Matze.Gamingtv: Du kannst mit /ooc auch mit uns schreiben
[08.04.2016 | 18:22:27] Kevin.Bumsberg: ok kann ich sanitäter werden?
[08.04.2016 | 18:22:58] Marcel.Gamer: hast du erfahrung ?
[08.04.2016 | 18:23:23] Kevin.Bumsberg: ne nicht wirklich aber bei lvpd army hab ich erfahrung
[08.04.2016 | 18:24:07] Marcel.Gamer: okay dann werde ich dir heute mal alles beibringen okay ?
[08.04.2016 | 18:24:16] Kevin.Bumsberg: das ist nett :D
[08.04.2016 | 18:24:58] Kevin.Bumsberg: wo kann ich führerschein machen
[08.04.2016 | 18:26:19] Matze.Gamingtv: Beim Roten S, Fahrschule
[08.04.2016 | 18:26:35] Kevin.Bumsberg: ich meine wenn ich das nicht verstehe kann ich für recht und ordnung sorgen als lvpd oder a
[08.04.2016 | 18:26:51] Kevin.Bumsberg: army hab die beiden schon über 1 jahr geleitet
[08.04.2016 | 18:27:16] Matze.Gamingtv: Kleiner Tipp: Das ist kein Reallife Server, Ihr muss man Roleplay Spielen
[08.04.2016 | 18:27:29] Kevin.Bumsberg: ja ist wie bei arma
[08.04.2016 | 18:27:42] Matze.Gamingtv: Nur ohne Sprachchat
[08.04.2016 | 18:27:55] Kevin.Bumsberg: was eig schade ist :(
[08.04.2016 | 18:28:00] Matze.Gamingtv: Ja
[08.04.2016 | 18:28:10] Marcel.Gamer: auf welchen server hast du da gespielt ?
[08.04.2016 | 18:28:28] Kevin.Bumsberg: ich habe arma 2 gespielt und ich war nur cop
[08.04.2016 | 18:28:38] Kevin.Bumsberg: das war ein deutscher server
[08.04.2016 | 18:28:40] Matze.Gamingtv: Kommt doch auf unsern Teamspeak! 79.133.59.107
[08.04.2016 | 18:29:51] Kevin.Bumsberg: leider kein headset kann aber hören :D
[08.04.2016 | 18:30:46] Marcel.Gamer: aber du kaufst dir noch eins oder ?
[08.04.2016 | 18:31:00] Kevin.Bumsberg: habe in moment kein geld aber ja
[08.04.2016 | 18:34:03] Kevin.Bumsberg: noch da?
[08.04.2016 | 18:34:09] Matze.Gamingtv: ja
[08.04.2016 | 18:34:19] Marcel.Gamer: ja ich komme gleich zum krankenhaus
[08.04.2016 | 18:34:31] Kevin.Bumsberg: bin bei einem fahrlehrer aber hab zu wenig geld
[08.04.2016 | 18:35:55] Marcel.Gamer: wo bist du
[08.04.2016 | 18:37:11] Kevin.Bumsberg: ich glaube ich helfe leiber den staat und gehe zur polizei oder armee
[08.04.2016 | 18:37:38] Kevin.Bumsberg: das hättest du nicht machen brauchen
[08.04.2016 | 18:38:02] Marcel.Gamer: ich bin aber nett :)
[08.04.2016 | 18:38:09] Kevin.Bumsberg: das merk ich :)
[08.04.2016 | 18:46:23] Matze.Gamingtv: Weiter geht es
[08.04.2016 | 18:46:46] Kevin.Bumsberg: wollen wir leiber zur polizei
[08.04.2016 | 18:47:06] Marcel.Gamer: wie ? was ?
[08.04.2016 | 18:47:17] Kevin.Bumsberg: für die ordnung hier sorgen i
[08.04.2016 | 18:47:18] Matze.Gamingtv: InterTrans Trailer stehen bereit
[08.04.2016 | 18:47:25] Kevin.Bumsberg: es ist keiner polizist
[08.04.2016 | 18:47:33] Jay.Mcmillen: wie tankt man ?
[08.04.2016 | 18:47:49] Marcel.Gamer: also kündigst du ?
[08.04.2016 | 18:47:53] Matze.Gamingtv: Fahr zur eine Tankstelle, Aussteigen, Mausrad auf dem Auto Klicken
[08.04.2016 | 18:48:02] Kevin.Bumsberg: wenn ich dan zur polizei darf
[08.04.2016 | 18:48:19] Matze.Gamingtv: Bei der Polizei haben wir schon einen Chef der aber grade nicht Online ist
[08.04.2016 | 18:48:28] Kevin.Bumsberg: und armee?
[08.04.2016 | 18:48:47] Matze.Gamingtv: Als Staats Unternehmen gibts es nur die Polizei
[08.04.2016 | 18:49:21] Kevin.Bumsberg: aber ich will nicht als chef sondern beamter
[08.04.2016 | 18:49:34] Matze.Gamingtv: Ich Versuche mal den Chef zu erreichen
[08.04.2016 | 18:49:42] Kevin.Bumsberg: das were suppi
[08.04.2016 | 18:51:18] Kevin.Bumsberg: was ist das biligste auto hier
[08.04.2016 | 18:52:33] Marcel.Gamer: ich gehe mal gucken
[08.04.2016 | 18:52:43] Kevin.Bumsberg: hab nur 799 vero
[08.04.2016 | 18:53:14] Marcel.Gamer: komm mal zum autohaus von ares
[08.04.2016 | 18:53:26] Kevin.Bumsberg: wo liegt das
[08.04.2016 | 18:57:01] Kevin.Bumsberg: ich bleibe erstmal medic bis der vhef sich meldet wo sind die krankenwagen
[08.04.2016 | 18:59:31] Kevin.Bumsberg: warte kurz
[08.04.2016 | 19:01:02] Matze.Gamingtv: So InterTrans wir sind jetzt Fertig, Jetzt kann der Chef von euch in die Kasse schauen und Staunen
[08.04.2016 | 19:01:48] Kevin.Bumsberg: wie sehe ich in die kasse
[08.04.2016 | 19:02:02] Matze.Gamingtv: Als Angestellter garnicht
[08.04.2016 | 19:05:16] Kevin.Bumsberg: habe mein ersten menschen gerettet
[08.04.2016 | 19:05:22] Matze.Gamingtv: RescousK
[08.04.2016 | 19:07:35] Matze.Gamingtv: RescusK
[08.04.2016 | 19:12:42] Kevin.Bumsberg: jeah lvl 3
[08.04.2016 | 19:12:49] Marcel.Gamer: der ist im ares autohaus
[08.04.2016 | 19:13:00] Kevin.Bumsberg: was
[08.04.2016 | 19:23:19] Georg.Dampfnudel: Hi :)
[08.04.2016 | 19:23:31] Jay.Mcmillen: hi
[08.04.2016 | 19:24:12] Georg.Dampfnudel: Matze sind meine Autos angekommen ?
[08.04.2016 | 19:24:22] Marcel.Gamer: welche denn ?
[08.04.2016 | 19:24:46] Ryan.McMillen: Von uns wurden alle geliefert :P
[08.04.2016 | 19:28:03] Georg.Dampfnudel: Florian hast du für Führerschein Zeit ?
[08.04.2016 | 19:30:00] Matze.Gamingtv: Florian, schreiben kannst du mit /ooc Texst
[08.04.2016 | 19:30:22] Florian.Mrpacman: danke
[08.04.2016 | 19:30:40] Florian.Mrpacman: ja habe ich soll ich dich abhollen ?
[08.04.2016 | 19:30:49] Georg.Dampfnudel: Ich komme zur Fahrschule
[08.04.2016 | 19:30:54] Florian.Mrpacman: ok
[08.04.2016 | 19:31:17] Georg.Dampfnudel: Matze wie wäre es mit einem Voice Chat ?
[08.04.2016 | 19:31:42] Matze.Gamingtv: Voice Chat, Wurde schon Versucht leider geht das nicht so ganz wie es soll
[08.04.2016 | 19:31:55] Georg.Dampfnudel: Warum ?
[08.04.2016 | 19:33:20] Talorin.Goldberry: Hallo an alle :=)
[08.04.2016 | 19:33:39] Matze.Gamingtv: Die Voice Qualität hat nicht so ganz gepast, Und die Lautsärke
[08.04.2016 | 19:36:57] Florian.Mrpacman: ben hast du grade zeit
[08.04.2016 | 19:37:16] Ben.Akaisda: jo was brauchst ?
[08.04.2016 | 19:37:53] Florian.Mrpacman: wäre nett wenn du kurz nach lv zum airport kommen könntest und mein auto heile machen
[08.04.2016 | 19:37:58] Florian.Mrpacman: könntest
[08.04.2016 | 19:38:31] Ben.Akaisda: kannst du zur autofix kommen oder geht das auto nicht mehr ?
[08.04.2016 | 19:38:44] Florian.Mrpacman: ok warte ich komme
[08.04.2016 | 19:38:52] Ben.Akaisda: ok bg
[08.04.2016 | 19:39:16] Ben.Akaisda: tor is schon ofen für dich
[08.04.2016 | 19:49:08] Florian.Mrpacman: matze
[08.04.2016 | 19:49:15] Matze.Gamingtv: Ja
[08.04.2016 | 19:49:21] Florian.Mrpacman: hat sich erledigt
[08.04.2016 | 19:49:31] Matze.Gamingtv: Dein ernst?=
[08.04.2016 | 19:49:42] Talorin.Goldberry: hahah
[08.04.2016 | 19:50:05] Georg.Dampfnudel: Matze sind meine Fahrzeuge da ?
[08.04.2016 | 19:50:06] Matze.Gamingtv: Maxi?
[08.04.2016 | 19:50:32] Matze.Gamingtv: Nur der Heli
[08.04.2016 | 19:50:34] Talorin.Goldberry: Sprich. Hab aber grad nicht viel Zeit. Hab immer noch ungebetenen Besuch :/ :(
[08.04.2016 | 19:50:56] Matze.Gamingtv: Schmeiß sie raus, Und komm ts
[08.04.2016 | 19:51:56] Florian.Mrpacman: du hast ihn noch nicht
[08.04.2016 | 19:52:35] Georg.Dampfnudel: Hab ihn schon sonst könnte ich nicht einkaufen
[08.04.2016 | 19:53:04] Matze.Gamingtv: Du hast nur den 14 Tages schein
[08.04.2016 | 19:53:14] Georg.Dampfnudel: Ne
[08.04.2016 | 19:59:33] Georg.Dampfnudel: Matze ?
[08.04.2016 | 19:59:38] Matze.Gamingtv: ja
[08.04.2016 | 19:59:47] Georg.Dampfnudel: Ich habe keine Rechte von den Polizei Autos
[08.04.2016 | 20:00:00] Georg.Dampfnudel: Sogesagt Schlüsseln
[08.04.2016 | 20:29:12] Georg.Dampfnudel: Bin erstmal weg bis später oder morgen
[08.04.2016 | 20:29:20] Ben.Akaisda: ok bb
[08.04.2016 | 20:49:25] Florian.Mrpacman: ben ?
[08.04.2016 | 20:49:36] Ben.Akaisda: ja ?
[08.04.2016 | 20:49:58] Florian.Mrpacman: kannst du mich am autofix in ls abhollen
[08.04.2016 | 20:50:12] Ben.Akaisda: wie meinst das ?
[08.04.2016 | 20:50:24] Florian.Mrpacman: bin da auf einmal gespwant
[08.04.2016 | 20:50:32] Ben.Akaisda: ok komme
[08.04.2016 | 20:50:48] Florian.Mrpacman: danke
[08.04.2016 | 20:50:53] Ben.Akaisda: bitte
[08.04.2016 | 21:02:46] Florian.Mrpacman: das rote es ist die fahrschule
[08.04.2016 | 21:03:10] Florian.Mrpacman: mit /ooc kannst du schreiben
[08.04.2016 | 21:03:34] Florian.Mrpacman: wie komme ich in eine gang ben
[08.04.2016 | 21:04:20] Ben.Akaisda: eine bestehende fragen , wie man selbst eine macht muss ich selbst noch kucken
[08.04.2016 | 21:04:34] Florian.Mrpacman: ok
[08.04.2016 | 21:05:16] Florian.Mrpacman: kann ich in deine
[08.04.2016 | 21:05:43] Florian.Mrpacman: danke
[08.04.2016 | 21:05:46] Ben.Akaisda: so bist drinne :D
[08.04.2016 | 21:05:54] Florian.Mrpacman: :DD
[08.04.2016 | 21:06:13] Florian.Mrpacman: bin mal wieder weg
[08.04.2016 | 21:06:31] Florian.Mrpacman: bis später villeicht
[08.04.2016 | 21:06:32] Ben.Akaisda: bin mal paar videos ankucken wen was is einfach auf TS3 kommen und mich anstupsen ;D
[08.04.2016 | 21:06:45] Florian.Mrpacman: okö
[08.04.2016 | 21:06:45] Ben.Akaisda: ok
[09.04.2016 | 14:01:08] Talorin.Goldberry: Guten Mittag
[09.04.2016 | 14:01:25] Ben.Akaisda: servus
[09.04.2016 | 14:02:01] Marcel.Gamer: maxi :D
[09.04.2016 | 14:02:22] Talorin.Goldberry: Marcel <3 :P
[09.04.2016 | 14:02:33] Marcel.Gamer: wie gehts :D
[09.04.2016 | 14:02:53] Talorin.Goldberry: Es ging mir noch nie besser xD Und dir
[09.04.2016 | 14:03:22] Talorin.Goldberry: Ben? Mein Auto braucht TÜV. Soll ich zu dir in Autofix oder gleich beim Ares Ding
[09.04.2016 | 14:03:43] Ben.Akaisda: bitte zur autofix base kommen danke :D
[09.04.2016 | 14:15:00] Ben.Akaisda: mc Dampfnudel is in the Hauuuuus :D
[09.04.2016 | 14:15:07] Georg.Dampfnudel: :D
[09.04.2016 | 14:15:10] Marcel.Gamer: MC_Dampfnudel :D
[09.04.2016 | 14:15:42] Talorin.Goldberry: Georg, hab dir alle Polizeiwägenschlüssel gegeben
[09.04.2016 | 14:15:56] Georg.Dampfnudel: Ok danke :)
[09.04.2016 | 14:16:18] Georg.Dampfnudel: Ben ich bräuchte einen Abschleppwagen beim Polizei HQ in der Garage
[09.04.2016 | 14:16:37] Ben.Akaisda: für ?:D
[09.04.2016 | 14:16:46] Georg.Dampfnudel: Kaputtes Auto
[09.04.2016 | 14:17:11] Ben.Akaisda: apschleppen zu einer autofix base kostet 2000 vero
[09.04.2016 | 14:17:21] Georg.Dampfnudel: Ok
[09.04.2016 | 14:18:02] Ben.Akaisda: die preise von autofix stehen im Forum
[09.04.2016 | 14:18:13] Georg.Dampfnudel: Ok Schlepp ab
[09.04.2016 | 14:18:20] Ben.Akaisda: komme
[09.04.2016 | 14:22:04] Georg.Dampfnudel: Wann kommst du ca ?
[09.04.2016 | 14:22:36] Ben.Akaisda: sorry marcel hat mich verwirrt
[09.04.2016 | 14:22:47] Georg.Dampfnudel: ok
[09.04.2016 | 14:22:52] Talorin.Goldberry: Mensch Marcel
[09.04.2016 | 14:23:22] Ben.Akaisda: is das der cheeter ?
[09.04.2016 | 14:23:37] Georg.Dampfnudel: Ja
[09.04.2016 | 14:41:59] Georg.Dampfnudel: Irgendwie fehlen die Spieler noch :(
[09.04.2016 | 14:42:14] Marcel.Gamer: auja
[09.04.2016 | 14:42:18] Ben.Akaisda: ja
